Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Source details,Label for custom breakdown,Value
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,23.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 480,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mauritius,1.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,237.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,190.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,217.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,253.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,414.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 50,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Bangladesh,402.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,74.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,89.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,138.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,185.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,169.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 508,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mozambique,193.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,93.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,92.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,91.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,105.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,86.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 512,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Oman,88.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 586,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Pakistan,0.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 586,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Pakistan,1.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 586,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Pakistan,1.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 608,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Philippines,7.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 608,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Philippines,8.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 608,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Philippines,6.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 608,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Philippines,4.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 608,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Philippines,4.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,8.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,7.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,4.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,0.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,1.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 626,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Timor-Leste,0.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 638,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Réunion,1.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,99.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,180.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,175.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,182.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,158.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 682,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Saudi Arabia,143.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 704,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Viet Nam,1.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 704,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Viet Nam,1.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 704,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Viet Nam,2.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 704,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Viet Nam,1.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 704,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Viet Nam,1.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,323.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,305.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,441.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,406.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,531.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 706,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Somalia,653.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,7.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,6.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,12.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,12.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,13.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 710,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",South Africa,7.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,11.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,36.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,33.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,28.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,27.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 729,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sudan,22.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,103.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,138.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,130.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,135.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,142.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 764,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Thailand,120.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,129.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,112.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,129.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,337.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,208.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 834,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",United Republic of Tanzania,299.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,629.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,604.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,666.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,637.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,641.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 887,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Yemen,592.0
